Successfully ran 54750 iterations with 128 processors and 1 threads per processor in 296.505 seconds 
EMPTY HUMANS ZOMBIES INFECTED
7084929 787323 254 6
7084921 787327 252 12
7084880 787367 250 15
7084901 787351 242 18
7084854 787393 241 24
7084854 787391 239 28
7084796 787449 237 30
7084861 787384 236 31
7084779 787466 233 34
7084821 787425 231 35
7084804 787440 228 40
7084819 787423 226 44
7084797 787440 226 49
7084735 787498 225 54
7084727 787502 225 58
7084727 787499 223 63
7084652 787573 221 66
7084644 787580 220 68
7084721 787503 218 70
7084647 787574 215 76
7084659 787560 215 78
7084638 787577 215 82
7084621 787589 214 88
7084674 787538 211 89
7084615 787597 208 92
7084570 787642 207 93
7084529 787681 206 96
7084581 787631 202 98
7084586 787625 201 100
7084610 787602 198 102
7084530 787681 196 105
7084563 787645 195 109
7084492 787716 194 110
7084501 787702 194 115
7084450 787755 191 116
7084422 787784 188 118
7084438 787771 185 118
7084479 787731 182 120
7084366 787841 181 124
7084420 787783 180 129
7084406 787796 178 132
7084401 787800 176 135
7084413 787786 175 138
7084442 787755 173 142
7084403 787791 172 146
7084364 787832 169 147
7084362 787833 166 151
7084336 787860 165 151
7084322 787872 163 155
7084278 787915 161 158
7084347 787846 160 159
7084289 787902 159 162
7084227 787964 157 164
7084276 787916 155 165
7084217 787973 155 167
7084238 787951 154 169
7084234 787954 152 172
7084226 787962 150 174
7084158 788028 150 176
7084185 788000 149 178
7084143 788043 148 178
7084114 788070 146 182
7084114 788067 144 187
7084099 788083 142 188
7084130 788053 141 188
7084043 788144 137 188
7084093 788090 136 193
7084081 788103 134 194
7084054 788129 132 197
7084007 788175 131 199
7084031 788150 129 202
7083992 788186 129 205
7084032 788151 124 205
7084024 788156 123 209
7083952 788227 123 210
7083955 788225 121 211
7083914 788267 119 212
7083971 788210 118 213
7083867 788313 116 216
7083935 788244 114 219
7083877 788302 114 219
7083858 788320 113 221
7083910 788269 111 222
7083878 788302 110 222
7083831 788352 106 223
7083805 788379 105 223
7083825 788357 103 227
7083763 788419 102 228
7083793 788390 101 228
7083773 788411 99 229
7083723 788457 99 233
7083785 788393 99 235
7083799 788377 99 237
7083714 788463 98 237
7083737 788438 98 239
7083716 788458 97 241
7083742 788434 94 242
7083734 788441 94 243
7083743 788432 92 245
7083634 788538 92 248
7083706 788462 92 252
7083646 788523 91 252
7083659 788510 90 253
7083654 788517 88 253
7083561 788610 87 254
7083540 788632 85 255
7083589 788582 85 256
7083562 788610 84 256
7083624 788546 84 258
7083527 788646 81 258
7083547 788626 81 258
7083496 788676 81 259
7083494 788674 81 263
7083493 788673 81 265
7083485 788680 81 266
7083469 788695 80 268
7083463 788702 79 268
7083466 788698 80 268
7083370 788794 79 269
7083380 788778 79 275
7083388 788771 78 275
7083350 788806 78 278
7083378 788776 78 280
7083322 788831 76 283
7083265 788886 75 286
7083286 788863 76 287
7083300 788849 76 287
7083313 788834 76 289
7083315 788833 75 289
7083264 788883 75 290
7083196 788948 75 293
7083234 788910 74 294
7083231 788911 74 296
7083244 788900 72 296
7083215 788929 70 298
7083176 788970 68 298
7083138 789008 69 297
7083207 788936 68 301
7083176 788966 68 302
7083176 788965 69 302
7083138 789001 70 303
7083088 789051 69 304
7083132 789006 69 305
7083113 789024 69 306
7083073 789063 69 307
7083106 789033 67 306
7083077 789063 65 307
7083086 789055 64 307
7083013 789128 63 308
7083105 789035 63 309
7083111 789026 63 312
7083007 789130 62 313
7082961 789175 62 314
7083012 789124 61 315
7082987 789147 61 317
7083010 789127 59 316
7082997 789140 59 316
7082956 789180 59 317
7082871 789266 59 316
7082939 789197 59 317
7082887 789249 58 318
7082930 789206 58 318
7082844 789291 58 319
7082877 789258 58 319
7082864 789272 57 319
7082846 789290 56 320
7082887 789249 55 321
7082776 789363 52 321
7082840 789298 52 322
7082796 789342 52 322
7082745 789395 50 322
7082848 789292 50 322
7082823 789315 50 324
7082736 789404 48 324
7082727 789413 48 324
7082679 789463 46 324
7082720 789423 44 325
7082754 789389 44 325
7082708 789434 44 326
7082654 789487 44 327
7082614 789527 45 326
7082642 789496 47 327
7082589 789549 46 328
7082573 789564 46 329
7082625 789512 46 329
7082607 789530 46 329
7082559 789579 45 329
7082534 789603 45 330
7082548 789589 45 330
7082538 789600 45 329
7082493 789645 45 329
7082555 789583 45 329
7082532 789605 45 330
7082521 789614 45 332
7082416 789719 45 332
7082403 789733 45 331
7082474 789662 44 332
7082456 789680 44 332
7082413 789722 44 333
7082403 789731 44 334
7082405 789728 46 333
7082389 789744 46 333
7082331 789803 46 332
7082329 789806 45 332
7082292 789842 45 333
7082318 789815 46 333
7082268 789866 45 333
7082284 789850 44 334
7082264 789869 44 335
7082223 789909 44 336
7082268 789864 43 337
7082217 789914 44 337
7082200 789931 44 337
7082237 789895 43 337
7082184 789949 42 337
7082121 790013 40 338
7082127 790007 40 338
7082170 789964 40 338
7082126 790008 40 338
7082155 789977 40 340
7082049 790083 40 340
7082076 790057 40 339
7082025 790108 39 340
7082030 790103 39 340
7082019 790114 38 341
7082044 790090 37 341
7082048 790086 37 341
7082055 790079 37 341
7081936 790196 37 343
7081957 790175 37 343
7081888 790243 37 344
7081894 790236 36 346
7081894 790235 36 347
7081914 790216 35 347
7081920 790210 35 347
7081825 790304 36 347
7081895 790232 36 349
7081808 790320 35 349
7081781 790347 35 349
7081789 790340 35 348
7081757 790372 35 348
7081754 790374 35 349
7081759 790368 35 350
7081749 790377 35 351
7081667 790459 35 351
7081781 790346 34 351
7081742 790385 34 351
7081669 790457 36 350
7081664 790463 35 350
7081699 790428 35 350
7081641 790486 35 350
7081635 790492 35 350
7081675 790452 35 350
7081654 790473 35 350
7081585 790541 35 351
7081601 790524 35 352
7081601 790525 34 352
7081539 790586 34 353
7081485 790640 33 354
7081518 790607 33 354
7081550 790575 33 354
7081507 790618 32 355
7081495 790630 32 355
7081458 790667 32 355
7081465 790659 32 356
7081431 790692 31 358
7081427 790696 31 358
7081426 790696 31 359
7081440 790683 31 358
7081470 790652 31 359
7081399 790723 32 358
7081393 790730 31 358
7081307 790816 31 358
7081346 790777 31 358
7081280 790842 31 359
7081324 790797 31 360
7081303 790818 30 361
7081273 790847 30 362
7081279 790839 30 364
7081272 790846 31 363
7081214 790904 32 362
7081182 790936 32 362
7081208 790911 32 361
7081213 790905 32 362
7081186 790932 31 363
7081118 791000 31 363
7081117 791001 31 363
7081091 791026 31 364
7081068 791050 31 363
7081087 791029 31 365
7081151 790965 31 365
7081092 791023 31 366
